Feature1,Feature2,Correlation,Notes
domestic_gross,scaled_domestic_gross,1.0000000000000002,
foreign_gross,scaled_foreign_gross,0.9999999999999993,
tn_worldwide_gross,scaled_tn_worldwide_gross,0.9999999999999993,
tn_production_budget,scaled_tn_production_budget,0.999999999999998,
profit,scaled_profit,0.9999999999999973,
profit_proportion,roi_perc,0.9999999999999961,
domestic_gross,tn_domestic_gross,0.9999968487409608,Domestic gross is almost perfectly correlated with tn_domestic_gross ensuring consistent revenue measurement. 
tn_domestic_gross,scaled_domestic_gross,0.9999968487409578,
tn_worldwide_gross,scaled_foreign_gross,0.9838015457695508,
foreign_gross,tn_worldwide_gross,0.9838015451885734,High correlation indicates the significance of international markets in overall worldwide gross.
scaled_tn_worldwide_gross,scaled_foreign_gross,0.9838015450244667,
foreign_gross,scaled_tn_worldwide_gross,0.9838015444434891,
tn_worldwide_gross,profit,0.981761496149126,Worldwide gross strongly impacts overall profit; prioritize global appeal to maximize profit.
tn_worldwide_gross,scaled_profit,0.9817614961140481,
profit,scaled_tn_worldwide_gross,0.9817614958451684,
scaled_profit,scaled_tn_worldwide_gross,0.9817614958100879,
foreign_gross,profit,0.9686340643299399,Foreign gross significantly contributes to profit; focus on international marketing.
profit,scaled_foreign_gross,0.9686340643148733,
foreign_gross,scaled_profit,0.9686340639584784,
scaled_profit,scaled_foreign_gross,0.9686340639434132,
tn_domestic_gross,scaled_tn_worldwide_gross,0.948931676922292,
tn_domestic_gross,tn_worldwide_gross,0.9489316755504236,Domestic gross is a major component of worldwide gross; balance domestic and international strategies.
tn_domestic_gross,scaled_profit,0.9476694049924353,
tn_domestic_gross,profit,0.9476694040050568,Domestic gross substantially impacts profit; ensure strong domestic market presence.
scaled_tn_worldwide_gross,scaled_domestic_gross,0.9436418476606763,
domestic_gross,scaled_tn_worldwide_gross,0.9436418476606756,
domestic_gross,tn_worldwide_gross,0.9436418462552039,Domestic gross significantly affects worldwide gross; leverage domestic success to boost international performance.
tn_worldwide_gross,scaled_domestic_gross,0.9436418462552035,
scaled_profit,scaled_domestic_gross,0.9395008679471633,
domestic_gross,scaled_profit,0.939500867947162,
profit,scaled_domestic_gross,0.9395008670370261,
domestic_gross,profit,0.9395008670370248,Domestic gross drives profit; enhance domestic market strategies.
tn_domestic_gross,scaled_foreign_gross,0.8817410541290189,
foreign_gross,tn_domestic_gross,0.8817410525828627,Foreign and domestic grosses are interrelated; optimize both for maximum revenue.
scaled_domestic_gross,scaled_foreign_gross,0.8675008946608858,
domestic_gross,scaled_foreign_gross,0.8675008946608848,
domestic_gross,foreign_gross,0.8675008930172537,Strong interplay between domestic and foreign grosses; coordinate marketing efforts across regions.
foreign_gross,scaled_domestic_gross,0.8675008930172531,
scaled_tn_production_budget,scaled_foreign_gross,0.842619168583768,
tn_production_budget,scaled_foreign_gross,0.8426191682861198,
foreign_gross,scaled_tn_production_budget,0.8426191659523882,
foreign_gross,tn_production_budget,0.8426191656547383,Higher production budgets tend to generate higher foreign grosses; invest wisely in production.
tn_production_budget,scaled_tn_worldwide_gross,0.8060575477808829,
scaled_tn_production_budget,scaled_tn_worldwide_gross,0.8060575476907398,
tn_production_budget,tn_worldwide_gross,0.8060575468346527,Bigger budgets generally lead to higher worldwide gross; ensure budget efficiency.
tn_worldwide_gross,scaled_tn_production_budget,0.8060575467445111,
scaled_tn_production_budget,scaled_domestic_gross,0.7741945984579804,
domestic_gross,scaled_tn_production_budget,0.77419459845798,
tn_production_budget,scaled_domestic_gross,0.7741945982478008,
domestic_gross,tn_production_budget,0.7741945982478006,Higher domestic grosses often come from larger budgets; align budget with expected domestic performance.
tn_domestic_gross,scaled_tn_production_budget,0.7632901394295034,
tn_production_budget,tn_domestic_gross,0.7632901391545521,Production budget correlates with domestic gross; allocate budget based on domestic market potential.
scaled_foreign_gross,log_profit,0.7265968067489152,
foreign_gross,log_profit,0.7265968043829669,Foreign gross is a key factor in logarithmic profit; enhance foreign market strategies.
tn_domestic_gross,log_profit,0.7208863320845434,Domestic gross contributes significantly to log profit; maintain a robust domestic market.
scaled_domestic_gross,log_profit,0.6977744260085481,
domestic_gross,log_profit,0.6977744260085473,Domestic gross impacts logarithmic profit; ensure strong domestic performance.
numvotes,domestic_gross,0.6942079405728898,Number of votes impacts domestic gross; increase audience engagement domestically.
numvotes,scaled_domestic_gross,0.6942079405728897,
numvotes,tn_worldwide_gross,0.6913801580409098,Number of votes correlates with worldwide gross; engage audiences to drive votes and gross.
numvotes,scaled_tn_worldwide_gross,0.691380156155064,
tn_production_budget,profit,0.6788381263280578,Higher production budgets are linked to higher profits; optimize budget allocation.
profit,scaled_tn_production_budget,0.6788381262162174,
tn_production_budget,scaled_profit,0.6788381261925781,
scaled_profit,scaled_tn_production_budget,0.6788381260807385,
numvotes,tn_domestic_gross,0.6752202502241117,Audience engagement through votes influences domestic gross; foster community involvement.
numvotes,profit,0.6551092357696948,Number of votes correlates with profit; engage and expand audience for better profitability.
numvotes,scaled_profit,0.6551092342493237,
numvotes,scaled_foreign_gross,0.6527665791684839,
numvotes,foreign_gross,0.6527665778216971,Audience votes drive foreign gross; enhance international audience interaction.
numvotes,tn_production_budget,0.6308300680582465,Production budget correlates with number of votes; budget for marketing to boost engagement.
numvotes,scaled_tn_production_budget,0.6308300679904754,
tn_production_budget,log_profit,0.5976383989905719,Production budget impacts log profit; ensure effective budget use.
scaled_tn_production_budget,log_profit,0.5976383987932926,
scaled_tn_worldwide_gross,log_profit,0.5848602382000544,
tn_worldwide_gross,log_profit,0.5848602379337727,Worldwide gross significantly affects log profit; global market focus is crucial.
isgenre_music,isgenre_musical,0.5647619381759386,
tn_domestic_gross,roi_perc,0.5633950374141444,
tn_domestic_gross,profit_proportion,0.5633950365894056,Domestic gross impacts ROI; maximize domestic revenue for better returns.
scaled_profit,log_profit,0.5478658163774505,
profit,log_profit,0.5478658163612226,Profit and log profit are strongly related; both are key performance indicators.
numvotes,log_profit,0.5107755563959236,Audience votes correlate with log profit; focus on engaging content to increase profitability.
domestic_gross,profit_proportion,0.5071570316755276,Domestic gross influences ROI; strengthen domestic market strategies.
profit_proportion,scaled_domestic_gross,0.5071570316755273,
roi_perc,scaled_domestic_gross,0.5071570316576797,
domestic_gross,roi_perc,0.5071570316576784,
isgenre_adventure,scaled_foreign_gross,0.5052923827433405,
foreign_gross,isgenre_adventure,0.5052923811204214,Adventure genres perform well internationally; invest in high-quality adventure films.
tn_production_budget,isgenre_adventure,0.4984582136010563,Adventure films often require higher budgets; allocate resources accordingly.
isgenre_adventure,scaled_tn_production_budget,0.49845821337957696,
profit,roi_perc,0.48690600881847945,
roi_perc,scaled_profit,0.4869060088033823,
profit,profit_proportion,0.4869060083423616,Higher profits lead to better ROI; focus on profitable projects.
profit_proportion,scaled_profit,0.4869060083272659,
roi_perc,scaled_foreign_gross,0.4751214112824809,
foreign_gross,roi_perc,0.4751214111137718,
profit_proportion,scaled_foreign_gross,0.47512140982675694,
foreign_gross,profit_proportion,0.4751214096580485,Foreign gross impacts ROI; international success is crucial for high returns.
tn_domestic_gross,isgenre_adventure,0.4705501506952766,Adventure films do well domestically; invest in adventure genres for local markets.
isgenre_adventure,scaled_domestic_gross,0.4530099843845242,
domestic_gross,isgenre_adventure,0.4530099843845238,Adventure genres boost domestic gross; prioritize adventure film production.
tn_worldwide_gross,roi_perc,0.446107229390467,
roi_perc,scaled_tn_worldwide_gross,0.44610722918434154,
tn_worldwide_gross,profit_proportion,0.44610722888681925,Worldwide gross drives ROI; aim for global box office success.
profit_proportion,scaled_tn_worldwide_gross,0.4461072286806944,
roi_perc,log_profit,0.4173307870953188,
profit_proportion,log_profit,0.4173307863949282,ROI and log profit are related; improving profit boosts ROI.
isgenre_adventure,isgenre_animation,0.4068832672342664,
isgenre_adventure,scaled_tn_worldwide_gross,0.3975800433594673,
tn_worldwide_gross,isgenre_adventure,0.397580042767375,Adventure films contribute to worldwide gross; global market strategies should include adventure genres.
isgenre_adventure,log_profit,0.36808286520578765,Adventure films contribute to log profit; invest in high-quality adventure films.
tn_production_budget,isgenre_action,0.3618554062723455,Action films require larger budgets; plan budget allocation to support action films.
isgenre_action,scaled_tn_production_budget,0.3618554061572188,
numvotes,profit_proportion,0.35809495578825773,Audience engagement through votes enhances ROI; encourage audience participation.
numvotes,roi_perc,0.3580949556702685,
isgenre_action,scaled_foreign_gross,0.35621809047823827,
foreign_gross,isgenre_action,0.3562180902218962,Action genres perform well internationally; consider action films for foreign markets.
isgenre_sci-fi,scaled_foreign_gross,0.341734283274224,
foreign_gross,isgenre_sci-fi,0.3417342813796351,Sci-fi films perform well internationally; target foreign markets for sci-fi releases.
profit,isgenre_adventure,0.3331541340591655,Adventure genres contribute to profit; continue investing in adventure films.
isgenre_adventure,scaled_profit,0.3331541339372893,
averagerating,tn_domestic_gross,0.3273550007465484,Higher average ratings correlate with domestic gross; focus on quality to boost ratings.
isgenre_sci-fi,scaled_domestic_gross,0.322131582738231,
domestic_gross,isgenre_sci-fi,0.32213158273823095,Sci-fi films boost domestic gross; prioritize sci-fi production for domestic audiences.
runtime_minutes,foreign_gross,0.32179808851157204,Longer runtimes are linked to higher foreign gross; consider runtime when targeting international markets.
runtime_minutes,scaled_foreign_gross,0.3217980878804354,
tn_domestic_gross,isgenre_sci-fi,0.315780029188197,Sci-fi films perform well domestically; invest in sci-fi genre for local success.
isgenre_adventure,isgenre_action,0.3071610189898619,
isgenre_action,log_profit,0.3055611941831157,Action films contribute to log profit; prioritize action genres.
tn_domestic_gross,isgenre_action,0.29998973840989823,Action films drive domestic gross; focus on action films for local markets.
runtime_minutes,tn_domestic_gross,0.29841767914203327,Longer runtimes are linked to domestic gross; consider runtime strategies.
averagerating,numvotes,0.2977698591562472,Higher ratings correlate with more votes; ensure quality to drive audience engagement.
isgenre_horror,isgenre_mystery,0.29700739622993394,
averagerating,domestic_gross,0.2861963288055172,Higher average ratings boost domestic gross; focus on film quality.
averagerating,scaled_domestic_gross,0.2861963288055166,
isgenre_action,scaled_tn_worldwide_gross,0.2763482734923144,
tn_worldwide_gross,isgenre_action,0.2763482731185791,Action films drive worldwide gross; prioritize action genres for global markets.
numvotes,isgenre_sci-fi,0.27095254032318716,Sci-fi films receive more votes; engage audiences with sci-fi content.
averagerating,scaled_foreign_gross,0.2695742911053047,
averagerating,foreign_gross,0.2695742897633603,Higher ratings drive foreign gross; ensure high-quality films.
runtime_minutes,averagerating,0.26941404938861085,Longer runtimes correlate with higher ratings; consider runtime strategies.
numvotes,isgenre_adventure,0.26727878963575546,Adventure films receive more votes; encourage audience engagement with adventure genres.
isgenre_action,scaled_domestic_gross,0.2663604597762305,
domestic_gross,isgenre_action,0.26636045977623,Action films boost domestic gross; invest in action genres.
runtime_minutes,numvotes,0.2627425221464961,Longer runtimes correlate with more votes; consider runtime to engage audiences.
runtime_minutes,scaled_tn_production_budget,0.2621569501371957,
runtime_minutes,tn_production_budget,0.2621569499231493,Longer runtimes often require higher budgets; plan budget for longer films.
numvotes,isgenre_action,0.24842078364143894,Action films receive more votes; promote audience engagement with action genres.
isgenre_sci-fi,scaled_tn_production_budget,0.246418508742964,
tn_production_budget,isgenre_sci-fi,0.24641850832534715,Sci-fi films require higher budgets; allocate resources accordingly.
runtime_minutes,isgenre_drama,0.23756170187840575,Drama films tend to have longer runtimes; consider runtime in drama productions.
profit,isgenre_action,0.2266239009632887,Action films contribute to profit; invest in action genres.
isgenre_action,scaled_profit,0.22662390081056896,
runtime_minutes,log_profit,0.2264292509929948,Longer runtimes are linked to log profit; invest in longer films for better returns.
runtime_minutes,scaled_tn_worldwide_gross,0.22577750675801622,
runtime_minutes,tn_worldwide_gross,0.2257775062376686,Longer runtimes drive worldwide gross; consider runtime strategies for global markets.
tn_domestic_gross,isgenre_animation,0.22406786000380532,Animation films perform well domestically; focus on animation genres.
tn_worldwide_gross,isgenre_sci-fi,0.22114531955322783,Sci-fi films contribute to worldwide gross; target global markets.
isgenre_sci-fi,scaled_tn_worldwide_gross,0.22114531875916346,
runtime_minutes,isgenre_action,0.21899787720935354,Action films tend to have longer runtimes; plan accordingly.
averagerating,isgenre_drama,0.21847178606680553,Higher ratings are associated with drama films; focus on quality in drama genres.
isgenre_drama,isgenre_biography,0.21611162462649658,
runtime_minutes,scaled_domestic_gross,0.2125991216898547,
runtime_minutes,domestic_gross,0.21259912168985434,Longer runtimes boost domestic gross; plan runtime accordingly.
